17:26:20.620 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:228
17:26:20.620 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:141
17:26:20.620 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:164
17:26:20.620 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:230
17:26:20.620 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:133
17:26:20.620 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:178
17:26:20.621 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:239
17:26:20.621 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:140
17:26:20.621 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:156
17:26:20.621 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:20.621 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:176
17:26:20.621 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:186
17:26:20.621 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:20.621 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:182
17:26:20.621 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:185
17:26:20.621 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:231
17:26:20.621 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:143
17:26:20.621 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:-1
17:26:41.144 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:154
17:26:41.149 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:41.150 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:189
17:26:41.150 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:176
17:26:41.150 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:231
17:26:41.150 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:178
17:26:41.150 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:143
17:26:41.150 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:228
17:26:41.150 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:157
17:26:41.151 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:130
17:26:41.151 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:41.151 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:136
17:26:41.151 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:184
17:26:41.151 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:41.152 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:167
17:26:41.152 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:139
17:26:41.152 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:229
17:26:41.152 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:143
17:26:41.152 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:161
17:26:41.152 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:231
17:26:41.152 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:181
17:26:41.153 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:129
